Metadata_Plate,Metadata_Well,Metadata_Site
BR00143976,E08,7
BR00143976,E12,4
BR00143976,H12,8
BR00143976,H12,9
BR00143981,G07,1
BR00143981,G07,3
BR00143981,G07,5
BR00143981,G08,1
BR00143981,G08,3
BR00143981,G08,4
BR00143981,G08,5
BR00143981,E09,7
BR00143981,G09,1
BR00143981,G09,4
BR00143981,G09,5
BR00143981,H09,5
BR00143981,G10,1
BR00143981,G10,4
BR00143981,G10,5
BR00143981,H10,5
BR00143981,H10,9
BR00143981,H11,1
BR00143981,H11,4
BR00143981,H11,5
BR00143981,G12,3
BR00143981,H12,2
BR00143976,N12,5
